metro_area,community_name,builder,phase,street_name,full_address,bedrooms,sqft,list_price,price,status_bucket,status_raw,input_date,closed_date,last_checked_date,status_changed
"Little Rock, AR",Stagecoach Meadows,Lennar,,Nona Ruth Lane,110 Nona Ruth Lane,3,1248,202900,202900,for_sale,ACT,6/23/2026 2:47 PM,,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Bassett St,2312 Bassett Street,3,1243,204900,203000,sold,SLD,6/10/2026 12:39 PM,7/22/2026,2026-08-03,
"Little Rock, AR",Southfork Ranch,Lennar,,Powder River Drive,124 Powder River Drive,4,1640,205500,203000,sold,SLD,5/6/2026 12:33 PM,7/27/2026,2026-08-03,
"Little Rock, AR",Southfork Ranch,Lennar,,Powder River Drive,116 Powder River Drive,4,1613,203350,203350,sold,SLD,3/10/2026 10:03 AM,7/16/2026,2026-08-03,
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Raven Walk Dr,1092 Raven Walk Drive,3,1301,203400,203400,sold,SLD,3/27/2026 10:49 AM,4/30/2026,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Ten Point Lane,40 Ten Point Lane,3,1523,203525,203525,withdrawn,WITH,6/30/2025 3:31 PM,,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Croft Ave,6057 Croft Avenue,3,1523,204000,204000,sold,SLD,2/25/2025 1:53 PM,8/14/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Meadows Drive,1537 Meadows Drive,4,1496,220745,204000,sold,SLD,6/13/2025 11:03 AM,7/24/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Croft Ave,6017 Croft Avenue,3,1422,206610,204000,sold,SLD,3/14/2025 5:13 PM,7/9/2025,2026-08-03,
"Little Rock, AR",Cypress Bend,Lennar,,Jonathan Drive,142 Jonathan Drive,3,1051,204300,204300,for_sale,ACT,4/24/2026 2:06 PM,,2026-08-03,
"Little Rock, AR",Southfork Ranch,Lennar,,Southfork Drive,102 Southfork Drive,3,1472,204550,204550,for_sale,ACT,7/23/2026 11:43 AM,,2026-08-03,
