metro_area,community_name,city,builder,phase,street_name
"Little Rock, AR",Kensington Place,Alexander,D.R. Horton,,Wise Road
"Little Rock, AR",Kensington Place,Alexander,D.R. Horton,,Meridian Drive
"Little Rock, AR",The Reserve At Country Club,Maumelle,D.R. Horton,1,Molly Drive
"Little Rock, AR",The Reserve At Country Club,Maumelle,D.R. Horton,1,Mikah Drive
"Little Rock, AR",The Reserve At Country Club,Maumelle,D.R. Horton,1,Molly Lane
"Little Rock, AR",The Reserve At Country Club,Maumelle,D.R. Horton,3,Riley Lane
"Little Rock, AR",The Reserve At Country Club,Maumelle,D.R. Horton,2,Lainey Lane
"Little Rock, AR",The Vineyard,Mayflower,D.R. Horton,,E Reliance Court
"Little Rock, AR",The Vineyard,Mayflower,D.R. Horton,,Vineyard Drive
"Little Rock, AR",The Vineyard,Mayflower,D.R. Horton,,E Fredonia Court
"Little Rock, AR",Crescent Grove,North Little Rock,D.R. Horton,,
"Little Rock, AR",Midland Estates,Alexander,Lennar,,Sam Tillery Dr
"Little Rock, AR",Cottage Walk,Benton,Lennar,,Rambling Brook Drive
"Little Rock, AR",Panther Cove,Benton,Lennar,,
"Little Rock, AR",White Oak Crossing,North Little Rock,Lennar,,
"Little Rock, AR",Deerfield,Ward,Lennar,,
