metro_area,community_name,builder,phase,street_name,full_address,bedrooms,sqft,purchase_price,rent_price,list_date,rent_date,days_on_market,status,source_url,last_checked_date,status_changed
"Hickory, NC",Falls At Hickory,D.R. Horton,,37th Avenue Lane Ne,"1121 37th Avenue Ln NE, Hickory, NC 28601",4,2174,365000,2360,2026-08-28,,2,currently for rent,https://www.zillow.com/homedetails/1121-37th-Avenue-Ln-NE-Hickory-NC-28601/2053947945_zpid/,2026-09-09,
"Hickory, NC",Zion Springs,D.R. Horton,,Mammoth Road,"1431 Mammoth Rd, Hickory, NC 28602",5,2368,307679,2295,2026-09-04,,5,currently for rent,https://www.zillow.com/homedetails/1431-Mammoth-Rd-Hickory-NC-28602/455924046_zpid/,2026-09-09,unknown -> currently for rent (2026-09-09)
"Hickory, NC",The Falls At Newton,D.R. Horton,,Janie Circle,"422 Janie Cir, Hickory, NC 28601",4,2800,,2500,2026-09-03,,6,currently for rent,https://www.zillow.com/homedetails/422-Janie-Cir-Hickory-NC-28601/460859494_zpid/,2026-09-09,unknown -> currently for rent (2026-09-09)
"Hickory, NC",Huffman Ridge,D.R. Horton,,10th Street Se,"2098 10th St SE, Hickory, NC 28601",4,2174,309000,2395,2026-09-05,,4,currently for rent,https://www.zillow.com/homedetails/2098-10th-St-SE-Hickory-NC-28601/461180979_zpid/,2026-09-09,unknown -> currently for rent (2026-09-09)
"Hickory, NC",Zion Springs,D.R. Horton,,Mammoth Road,"1415 Mammoth Rd, Hickory, NC 28602",4,1927,272500,2145,2026-09-05,,4,currently for rent,https://www.zillow.com/homedetails/1415-Mammoth-Rd-Hickory-NC-28602/461722523_zpid/,2026-09-09,unknown -> currently for rent (2026-09-09)
"Hickory, NC",Zion Springs,D.R. Horton,,Mammoth Road,"1419 Mammoth Rd, Hickory, NC 28602",5,2368,292400,2275,2026-09-05,,4,currently for rent,https://www.zillow.com/homedetails/1419-Mammoth-Rd-Hickory-NC-28602/461722721_zpid/,2026-09-09,unknown -> currently for rent (2026-09-09)
"Hickory, NC",Zion Springs,D.R. Horton,,Mammoth Road,"1411 Mammoth Rd, Hickory, NC 28602",5,2368,292400,2255,2026-09-05,,4,currently for rent,https://www.zillow.com/homedetails/1411-Mammoth-Rd-Hickory-NC-28602/463736170_zpid/,2026-09-09,unknown -> currently for rent (2026-09-09)
"Hickory, NC",Zion Springs,D.R. Horton,,Mammoth Road,"1406 Mammoth Rd, Hickory, NC 28602",3,1749,258000,2025,2026-09-05,,4,currently for rent,https://www.zillow.com/homedetails/1406-Mammoth-Rd-Hickory-NC-28602/460650036_zpid/,2026-09-09,unknown -> currently for rent (2026-09-09)
"Hickory, NC",Huffman Ridge,D.R. Horton,,10th Street Se,"44-72 10th St SE, Hickory, NC 28602",,,,,,,,previously rented,https://www.zillow.com/apartments/hickory-nc/44-72-10th-st-se/CtjwsY/,2026-09-09,
"Hickory, NC",Cline Village,D.R. Horton,,Charles Street Nw,"3755 Charles St NW, Conover, NC 28613",4,2565,359000,2400,2026-07-07,,64,currently for rent,https://www.zillow.com/homedetails/3755-Charles-St-NW-Conover-NC-28613/345078496_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4108 Oxford Glen Dr, Claremont, NC 28610",5,2578,,2135,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4108-Oxford-Glen-Dr-Claremont-NC-28610/465094285_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4114 Oxford Glen Dr, Claremont, NC 28610",4,2307,,1990,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4114-Oxford-Glen-Dr-Claremont-NC-28610/465094287_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4081 Oxford Glen Dr, Claremont, NC 28610",4,2307,,1990,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4081-Oxford-Glen-Dr-Claremont-NC-28610/465094290_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4093 Oxford Glen Dr, Claremont, NC 28610",4,2213,,1990,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4093-Oxford-Glen-Dr-Claremont-NC-28610/464050697_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4090 Oxford Glen Dr, Claremont, NC 28610",4,1956,,1945,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4090-Oxford-Glen-Dr-Claremont-NC-28610/465094288_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4102 Oxford Glen Dr, Claremont, NC 28610",3,1665,,1800,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4102-Oxford-Glen-Dr-Claremont-NC-28610/465094280_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4084 Oxford Glen Dr, Claremont, NC 28610",3,1665,,1800,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4084-Oxford-Glen-Dr-Claremont-NC-28610/465094279_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4075 Oxford Glen Dr, Claremont, NC 28610",5,2578,,2135,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4075-Oxford-Glen-Dr-Claremont-NC-28610/465094286_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4126 Oxford Glen Dr, Claremont, NC 28610",5,2578,,2135,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4126-Oxford-Glen-Dr-Claremont-NC-28610/465094293_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4105 Oxford Glen Dr, Claremont, NC 28610",5,2578,,2135,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4105-Oxford-Glen-Dr-Claremont-NC-28610/465094283_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4072 Oxford Glen Dr, Claremont, NC 28610",4,2307,,1990,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4072-Oxford-Glen-Dr-Claremont-NC-28610/465094284_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4096 Oxford Glen Dr, Claremont, NC 28610",4,2307,,1990,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4096-Oxford-Glen-Dr-Claremont-NC-28610/465094295_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4087 Oxford Glen Dr, Claremont, NC 28610",5,2578,,2135,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4087-Oxford-Glen-Dr-Claremont-NC-28610/465094282_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4066 Oxford Glen Dr, Claremont, NC 28610",4,1956,,1945,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4066-Oxford-Glen-Dr-Claremont-NC-28610/465094292_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4099 Oxford Glen Dr, Claremont, NC 28610",4,1956,,1945,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4099-Oxford-Glen-Dr-Claremont-NC-28610/465094294_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4054 Oxford Glen Dr, Claremont, NC 28610",3,1665,,1800,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4054-Oxford-Glen-Dr-Claremont-NC-28610/465094281_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4117 Oxford Glen Dr, Claremont, NC 28610",3,1665,,1800,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4117-Oxford-Glen-Dr-Claremont-NC-28610/465094291_zpid/,2026-09-09,
"Hickory, NC",Oxford Glen,Lennar,,Oxford Glen Drive,"4078 Oxford Glen Dr, Claremont, NC 28610",5,2578,,2135,2026-09-09,,0,currently for rent,https://www.zillow.com/homedetails/4078-Oxford-Glen-Dr-Claremont-NC-28610/465094289_zpid/,2026-09-09,
