listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"508 SW 4th St, Bryant, AR 72022",508 SW 4th St,Bryant,AR,,forRent,3,1510,,1950,16,https://www.zillow.com/homedetails/508-SW-4th-St-Bryant-AR-72022/391129_zpid/,,231000,2026-09-07T00:00:00.000Z,Listed for rent,2026-07-02T00:00:00.000Z,Listing removed,2026-06-18T00:00:00.000Z,Sold,2026-06-18T00:00:00.000Z,Listed for rent,2026-05-27T00:00:00.000Z,Contingent,2026-05-22T00:00:00.000Z,Price change
"1620 Rambling Brook Dr, Benton, AR 72015",1620 Rambling Brook Dr,Benton,AR,,forRent,3,1355,,1850,13,https://www.zillow.com/homedetails/1620-Rambling-Brook-Dr-Benton-AR-72015/463057732_zpid/,,206900,2026-09-10T00:00:00.000Z,Listed for rent,2026-08-28T00:00:00.000Z,Sold,2026-08-05T00:00:00.000Z,Contingent,2026-07-20T00:00:00.000Z,Price change,2026-07-09T00:00:00.000Z,Price change,2026-06-09T00:00:00.000Z,Listed for sale
"1015 Wineberry, Conway, AR 72034",1015 Wineberry,Conway,AR,,forRent,4,1606,,1700,78,https://www.zillow.com/homedetails/1015-Wineberry-Conway-AR-72034/82271419_zpid/,,222270,2026-07-22T00:00:00.000Z,Listed for rent,2026-07-15T00:00:00.000Z,Listing removed,2026-07-13T00:00:00.000Z,Price change,2026-07-07T00:00:00.000Z,Listed for rent,2022-05-27T00:00:00.000Z,Sold,2010-09-03T00:00:00.000Z,Sold
"1955 Bellingrath Gdns, Conway, AR 72034",1955 Bellingrath Gdns,Conway,AR,,forRent,3,1752,,2000,22,https://www.zillow.com/homedetails/1955-Bellingrath-Gdns-Conway-AR-72034/119403911_zpid/,,199900,2026-09-01T00:00:00.000Z,Listed for rent,2025-09-17T00:00:00.000Z,Listing removed,2025-09-05T00:00:00.000Z,Price change,2025-08-27T00:00:00.000Z,Listed for rent,2025-05-28T00:00:00.000Z,Listing removed,2025-05-09T00:00:00.000Z,Listed for rent
"1219 N Parker Haskell St, Benton, AR 72015",1219 N Parker Haskell St,Benton,AR,,forRent,3,1680,,1400,7,https://www.zillow.com/homedetails/1219-N-Parker-Haskell-St-Benton-AR-72015/392830_zpid/,,35564,2026-08-31T00:00:00.000Z,Price change,2026-08-06T00:00:00.000Z,Price change,2026-07-09T00:00:00.000Z,Listed for rent,2025-12-12T00:00:00.000Z,Listing removed,2025-11-20T00:00:00.000Z,Listed for rent,2025-05-09T00:00:00.000Z,Listing removed
"21051 Natalie Ln, Little Rock, AR 72206",21051 Natalie Ln,Little Rock,AR,,forRent,3,1550,,1700,13,https://www.zillow.com/homedetails/21051-Natalie-Ln-Little-Rock-AR-72206/64691031_zpid/,,,2026-09-10T00:00:00.000Z,Listed for rent,,,,,,,,,,
"2804 Bruce St, Conway, AR 72034",2804 Bruce St,Conway,AR,,forRent,3,1232,,1375,16,https://www.zillow.com/homedetails/2804-Bruce-St-Conway-AR-72034/238249_zpid/,,115000,2026-09-07T00:00:00.000Z,Listed for rent,2017-11-12T00:00:00.000Z,Listing removed,2017-11-01T00:00:00.000Z,Listed for rent,2016-07-19T00:00:00.000Z,Listing removed,2016-07-19T00:00:00.000Z,Listed for sale,2016-07-18T00:00:00.000Z,Sold
"202 Skunk Hollow Rd, Conway, AR 72032",202 Skunk Hollow Rd,Conway,AR,,forRent,3,1120,,1425,35,https://www.zillow.com/homedetails/202-Skunk-Hollow-Rd-Conway-AR-72032/228041_zpid/,,116083,2026-09-09T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Listing removed,2026-08-19T00:00:00.000Z,Listed for rent,2026-07-20T00:00:00.000Z,Sold,2026-05-18T00:00:00.000Z,Contingent,2026-05-08T00:00:00.000Z,Listed for sale
"1906 Dave Ward Dr, Conway, AR 72034",1906 Dave Ward Dr,Conway,AR,,forRent,3,1335,,1000,43,https://www.zillow.com/homedetails/1906-Dave-Ward-Dr-Conway-AR-72034/2061771487_zpid/,,,2026-08-11T00:00:00.000Z,Listed for rent,2025-12-18T00:00:00.000Z,Listing removed,2025-11-11T00:00:00.000Z,Price change,2025-10-28T00:00:00.000Z,Price change,2025-10-03T00:00:00.000Z,Price change,2025-06-27T00:00:00.000Z,Listed for rent
"608 S Baridon St, Conway, AR 72034",608 S Baridon St,Conway,AR,,forRent,3,1997,,1650,5,https://www.zillow.com/homedetails/608-S-Baridon-St-Conway-AR-72034/236173_zpid/,,132500,2026-09-19T00:00:00.000Z,Price change,2026-09-18T00:00:00.000Z,Listed for rent,2026-08-31T00:00:00.000Z,Listing removed,2026-08-18T00:00:00.000Z,Price change,2026-08-08T00:00:00.000Z,Listed for rent,2026-07-28T00:00:00.000Z,Listing removed
