listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event,listingPriceHistory/28/date,listingPriceHistory/28/event,listingPriceHistory/29/date,listingPriceHistory/29/event
"202 Skunk Hollow Rd, Conway, AR 72032",202 Skunk Hollow Rd,Conway,AR,,forRent,3,1120,,1425,30,https://www.zillow.com/homedetails/202-Skunk-Hollow-Rd-Conway-AR-72032/228041_zpid/,,116083,2026-09-09T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Listing removed,2026-08-19T00:00:00.000Z,Listed for rent,2026-07-20T00:00:00.000Z,Sold,2026-05-18T00:00:00.000Z,Contingent,2026-05-08T00:00:00.000Z,Listed for sale,2014-12-02T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Undisclosed Address), Conway, AR 72032",(Undisclosed Address),Conway,AR,,forRent,5,1800,,1200,16,https://www.zillow.com/homedetails/Conway-AR-72032/2055702130_zpid/,,,2026-09-02T00:00:00.000Z,Listed for rent,2023-09-14T00:00:00.000Z,Listing removed,2023-09-04T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1955 Bellingrath Gdns, Conway, AR 72034",1955 Bellingrath Gdns,Conway,AR,,forRent,3,1752,,2000,17,https://www.zillow.com/homedetails/1955-Bellingrath-Gdns-Conway-AR-72034/119403911_zpid/,,199900,2026-09-01T00:00:00.000Z,Listed for rent,2025-09-17T00:00:00.000Z,Listing removed,2025-09-05T00:00:00.000Z,Price change,2025-08-27T00:00:00.000Z,Listed for rent,2025-05-28T00:00:00.000Z,Listing removed,2025-05-09T00:00:00.000Z,Listed for rent,2024-01-01T00:00:00.000Z,Listing removed,2023-12-15T00:00:00.000Z,Listed for rent,2018-04-02T00:00:00.000Z,Sold,2018-02-03T00:00:00.000Z,Listed for sale,2016-07-01T00:00:00.000Z,Listing removed,2015-10-23T00:00:00.000Z,Price change,2015-09-29T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2255 Rainbow Rd, Conway, AR 72032",2255 Rainbow Rd,Conway,AR,,forRent,3,1254,,1600,2,https://www.zillow.com/homedetails/2255-Rainbow-Rd-Conway-AR-72032/240098_zpid/,,203000,2026-09-16T00:00:00.000Z,Listed for rent,2026-09-15T00:00:00.000Z,Sold,2026-08-14T00:00:00.000Z,Contingent,2026-08-12T00:00:00.000Z,Listed for sale,2024-08-23T00:00:00.000Z,Listing removed,2024-07-31T00:00:00.000Z,Listed for rent,2022-08-16T00:00:00.000Z,Listing removed,2022-08-08T00:00:00.000Z,Price change,2022-07-28T00:00:00.000Z,Listed for rent,2014-05-28T00:00:00.000Z,Sold,2010-06-23T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1425 Ola St, Conway, AR 72032",1425 Ola St,Conway,AR,,forRent,3,1268,,3100,16,https://www.zillow.com/homedetails/1425-Ola-St-Conway-AR-72032/63265054_zpid/,,115000,2026-09-02T00:00:00.000Z,Listed for rent,2026-02-22T00:00:00.000Z,Listing removed,2026-01-13T00:00:00.000Z,Listed for rent,2025-12-29T00:00:00.000Z,Listing removed,2025-11-07T00:00:00.000Z,Listed for rent,2025-06-27T00:00:00.000Z,Listing removed,2025-06-10T00:00:00.000Z,Listed for rent,2025-05-29T00:00:00.000Z,Listing removed,2025-03-22T00:00:00.000Z,Price change,2025-02-10T00:00:00.000Z,Listed for rent,2025-02-01T00:00:00.000Z,Listing removed,2025-01-15T00:00:00.000Z,Listed for rent,2024-12-10T00:00:00.000Z,Listing removed,2024-11-30T00:00:00.000Z,Listed for rent,2024-11-23T00:00:00.000Z,Listing removed,2024-10-16T00:00:00.000Z,Listed for rent,2015-03-23T00:00:00.000Z,Sold,2015-01-09T00:00:00.000Z,Price change,2014-10-12T00:00:00.000Z,Price change,2014-08-27T00:00:00.000Z,Listed for sale,2009-12-01T00:00:00.000Z,Sold,2009-10-21T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,
"15 Summerfield Dr, Conway, AR 72034",15 Summerfield Dr,Conway,AR,,forRent,3,1508,,1800,20,https://www.zillow.com/homedetails/15-Summerfield-Dr-Conway-AR-72034/238239_zpid/,,99000,2026-08-29T00:00:00.000Z,Listed for rent,2014-12-30T00:00:00.000Z,Sold,2005-06-02T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"640 Cherub Dr, Conway, AR 72034",640 Cherub Dr,Conway,AR,,forRent,3,1144,,1500,5,https://www.zillow.com/homedetails/640-Cherub-Dr-Conway-AR-72034/242932_zpid/,,180000,2026-09-13T00:00:00.000Z,Listed for rent,2026-08-28T00:00:00.000Z,Sold,2026-08-27T00:00:00.000Z,Contingent,2026-07-26T00:00:00.000Z,Listed for sale,2018-04-26T00:00:00.000Z,Sold,2013-10-04T00:00:00.000Z,Sold,2010-09-24T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1512 College Ave, Conway, AR 72034",1512 College Ave,Conway,AR,,forRent,4,1612,,1600,52,https://www.zillow.com/homedetails/1512-College-Ave-Conway-AR-72034/237453_zpid/,,119000,2026-09-15T00:00:00.000Z,Price change,2026-09-10T00:00:00.000Z,Price change,2026-08-03T00:00:00.000Z,Price change,2026-07-28T00:00:00.000Z,Listed for rent,2022-07-25T00:00:00.000Z,Listing removed,2022-07-18T00:00:00.000Z,Listed for rent,2021-02-23T00:00:00.000Z,Listing removed,2020-04-02T00:00:00.000Z,Listing removed,2020-03-24T00:00:00.000Z,Listed for rent,2019-03-29T00:00:00.000Z,Listing removed,2019-02-18T00:00:00.000Z,Listed for rent,2019-02-08T00:00:00.000Z,Sold,2010-12-17T00:00:00.000Z,Sold,2001-05-11T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"175 Southerland Rd, Conway, AR 72032",175 Southerland Rd,Conway,AR,,forRent,3,1532,,1650,16,https://www.zillow.com/homedetails/175-Southerland-Rd-Conway-AR-72032/35730518_zpid/,,165000,2026-09-02T00:00:00.000Z,Listed for rent,2025-07-03T00:00:00.000Z,Listing removed,2025-06-23T00:00:00.000Z,Listed for rent,2024-06-07T00:00:00.000Z,Listing removed,2024-05-25T00:00:00.000Z,Listed for rent,2022-05-09T00:00:00.000Z,Listing removed,2022-04-18T00:00:00.000Z,Listed for rent,2022-04-06T00:00:00.000Z,Sold,2022-02-18T00:00:00.000Z,Contingent,2022-02-03T00:00:00.000Z,Listed for sale,2020-07-20T00:00:00.000Z,Listing removed,2020-07-17T00:00:00.000Z,Listed for sale,2018-02-03T00:00:00.000Z,Listing removed,2017-12-31T00:00:00.000Z,Listed for rent,2015-07-20T00:00:00.000Z,Sold,2015-06-17T00:00:00.000Z,Pending sale,2015-05-02T00:00:00.000Z,Listed for sale,2015-01-01T00:00:00.000Z,Listing removed,2014-06-19T00:00:00.000Z,Listed for sale,2006-09-26T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,
"1845 Arden Ln, Conway, AR 72034",1845 Arden Ln,Conway,AR,,forRent,3,1205,,1575,4,https://www.zillow.com/homedetails/1845-Arden-Ln-Conway-AR-72034/71714882_zpid/,,139000,2026-08-30T00:00:00.000Z,Price change,2026-07-17T00:00:00.000Z,Listed for rent,2024-07-03T00:00:00.000Z,Listing removed,2024-06-25T00:00:00.000Z,Listed for rent,2023-02-27T00:00:00.000Z,Listing removed,2023-02-22T00:00:00.000Z,Listed for rent,2021-01-19T00:00:00.000Z,Listing removed,2021-01-09T00:00:00.000Z,Listed for rent,2020-12-16T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013 Creekwood Dr, Conway, AR 72032",2013 Creekwood Dr,Conway,AR,,forRent,5,2608,,2950,54,https://www.zillow.com/homedetails/2013-Creekwood-Dr-Conway-AR-72032/235364_zpid/,,289000,2026-09-11T00:00:00.000Z,Price change,2026-08-24T00:00:00.000Z,Price change,2026-07-29T00:00:00.000Z,Price change,2026-07-27T00:00:00.000Z,Listed for rent,2026-07-06T00:00:00.000Z,Sold,2026-04-16T00:00:00.000Z,Price change,2025-09-16T00:00:00.000Z,Price change,2025-09-09T00:00:00.000Z,Price change,2025-09-04T00:00:00.000Z,Price change,2025-08-27T00:00:00.000Z,Price change,2025-02-05T00:00:00.000Z,Price change,2025-01-16T00:00:00.000Z,Listed for sale,2013-08-12T00:00:00.000Z,Sold,2012-06-22T00:00:00.000Z,Listing removed,2012-03-22T00:00:00.000Z,Sold,2011-10-16T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Leruss Blvd, Cabot, AR 72023",15 Leruss Blvd,Cabot,AR,,forRent,,,,,,https://www.zillow.com/b/15-leruss-blvd-cabot-ar-CkhJp8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4605 Valiant Dr, Conway, AR 72034",4605 Valiant Dr,Conway,AR,,forRent,3,1324,,1500,68,https://www.zillow.com/homedetails/4605-Valiant-Dr-Conway-AR-72034/52392383_zpid/,,122000,2026-08-01T00:00:00.000Z,Price change,2026-07-13T00:00:00.000Z,Listed for rent,2023-05-19T00:00:00.000Z,Listing removed,2023-05-02T00:00:00.000Z,Listed for rent,2022-04-11T00:00:00.000Z,Listing removed,2022-04-06T00:00:00.000Z,Listed for rent,2011-09-02T00:00:00.000Z,Sold,2011-06-12T00:00:00.000Z,Listed for sale,2008-09-08T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"103 E Concord Rd, Mayflower, AR 72106",103 E Concord Rd,Mayflower,AR,,forRent,3,1413,,1660,10,https://www.zillow.com/homedetails/103-E-Concord-Rd-Mayflower-AR-72106/463058000_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-07-20T00:00:00.000Z,Price change,2026-06-09T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"405 S Ash St, Conway, AR 72034",405 S Ash St,Conway,AR,,forRent,3,1100,,1200,8,https://www.zillow.com/homedetails/405-S-Ash-St-Conway-AR-72034/238063_zpid/,,75000,2026-09-10T00:00:00.000Z,Listed for rent,2021-02-23T00:00:00.000Z,Listing removed,2020-06-04T00:00:00.000Z,Listing removed,2020-06-02T00:00:00.000Z,Listed for rent,2020-04-30T00:00:00.000Z,Sold,2020-04-14T00:00:00.000Z,Listed for sale,2013-09-25T00:00:00.000Z,Sold,2006-03-23T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1740 Raden St, Conway, AR 72032",1740 Raden St,Conway,AR,,forRent,3,1243,,1650,9,https://www.zillow.com/homedetails/1740-Raden-St-Conway-AR-72032/2061816633_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,2026-05-19T00:00:00.000Z,Listing removed,2026-02-27T00:00:00.000Z,Price change,2022-11-09T00:00:00.000Z,Price change,2022-10-11T00:00:00.000Z,Price change,2022-08-22T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1610 Raden St, Conway, AR 72032",1610 Raden St,Conway,AR,,forRent,3,1243,,1650,37,https://www.zillow.com/homedetails/1610-Raden-St-Conway-AR-72032/2066419442_zpid/,,,2026-08-12T00:00:00.000Z,Listed for rent,2025-10-04T00:00:00.000Z,Listing removed,2025-10-03T00:00:00.000Z,Listed for rent,2025-10-03T00:00:00.000Z,Listing removed,2025-07-18T00:00:00.000Z,Listed for rent,2023-12-30T00:00:00.000Z,Listing removed,2023-12-29T00:00:00.000Z,Listed for rent,2023-12-28T00:00:00.000Z,Listing removed,2023-12-01T00:00:00.000Z,Price change,2023-09-08T00:00:00.000Z,Listed for rent,2023-04-19T00:00:00.000Z,Listing removed,2023-03-28T00:00:00.000Z,Listed for rent,2022-04-21T00:00:00.000Z,Listing removed,2022-02-16T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"110 Fredonia Ct, Mayflower, AR 72106",110 Fredonia Ct,Mayflower,AR,,forRent,4,1858,,1895,4,https://www.zillow.com/homedetails/110-Fredonia-Ct-Mayflower-AR-72106/453583162_zpid/,,,2026-09-14T00:00:00.000Z,Listed for rent,2025-08-22T00:00:00.000Z,Listing removed,2025-07-28T00:00:00.000Z,Price change,2025-07-18T00:00:00.000Z,Price change,2025-07-17T00:00:00.000Z,Price change,2025-07-11T00:00:00.000Z,Price change,2025-07-03T00:00:00.000Z,Price change,2025-06-27T00:00:00.000Z,Price change,2025-06-20T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"621-623 Cosmos St, Maumelle, AR 72113",621-623 Cosmos St,Maumelle,AR,,other,,,,,,https://www.zillow.com/b/621-623-cosmos-st-maumelle-ar-CpNTTZ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1120 Trenton Dr, Conway, AR 72034",1120 Trenton Dr,Conway,AR,,forRent,3,1230,,1450,8,https://www.zillow.com/homedetails/1120-Trenton-Dr-Conway-AR-72034/82275033_zpid/,,92000,2026-09-10T00:00:00.000Z,Listed for rent,2026-03-11T00:00:00.000Z,Listing removed,2026-03-04T00:00:00.000Z,Listed for rent,2021-03-24T00:00:00.000Z,Listing removed,2020-02-09T00:00:00.000Z,Listing removed,2020-01-09T00:00:00.000Z,Price change,2019-11-07T00:00:00.000Z,Price change,2019-10-20T00:00:00.000Z,Listed for rent,2005-05-03T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4555 Graham Dr, Conway, AR 72034",4555 Graham Dr,Conway,AR,,forRent,3,1192,,1400,36,https://www.zillow.com/homedetails/4555-Graham-Dr-Conway-AR-72034/59917944_zpid/,,185000,2026-08-13T00:00:00.000Z,Listed for rent,2024-10-02T00:00:00.000Z,Listing removed,2024-09-23T00:00:00.000Z,Listed for rent,2023-07-28T00:00:00.000Z,Sold,2023-06-28T00:00:00.000Z,Contingent,2023-06-28T00:00:00.000Z,Listed for sale,2021-03-24T00:00:00.000Z,Listing removed,2016-11-28T00:00:00.000Z,Listing removed,2016-11-28T00:00:00.000Z,Listed for sale,2016-09-29T00:00:00.000Z,Sold,2016-09-06T00:00:00.000Z,Pending sale,2016-07-30T00:00:00.000Z,Price change,2016-07-21T00:00:00.000Z,Listed for sale,2011-06-21T00:00:00.000Z,Sold,2005-10-20T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1810 Rich Smith Ln, Conway, AR 72032",1810 Rich Smith Ln,Conway,AR,,forRent,3,2310,,2500,53,https://www.zillow.com/homedetails/1810-Rich-Smith-Ln-Conway-AR-72032/102992676_zpid/,,,2026-07-27T00:00:00.000Z,Price change,2026-06-22T00:00:00.000Z,Price change,2026-04-22T00:00:00.000Z,Price change,2026-01-07T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1720 Ryder St, Conway, AR 72032",1720 Ryder St,Conway,AR,,forRent,4,1559,,1700,18,https://www.zillow.com/homedetails/1720-Ryder-St-Conway-AR-72032/338960305_zpid/,,,2026-09-01T00:00:00.000Z,Listed for rent,2025-08-05T00:00:00.000Z,Listing removed,2025-07-31T00:00:00.000Z,Listed for rent,2023-08-07T00:00:00.000Z,Listing removed,2023-07-22T00:00:00.000Z,Listed for rent,2023-06-22T00:00:00.000Z,Listing removed,2023-06-14T00:00:00.000Z,Listed for rent,2023-01-31T00:00:00.000Z,Listing removed,2023-01-19T00:00:00.000Z,Price change,2022-12-15T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Hawthorne Dr, Conway, AR 72034",2 Hawthorne Dr,Conway,AR,,forRent,3,1408,,1650,56,https://www.zillow.com/homedetails/2-Hawthorne-Dr-Conway-AR-72034/237001_zpid/,,102000,2026-09-06T00:00:00.000Z,Price change,2026-08-27T00:00:00.000Z,Price change,2026-07-24T00:00:00.000Z,Listed for rent,2014-07-29T00:00:00.000Z,Sold,2014-05-16T00:00:00.000Z,Price change,2014-02-28T00:00:00.000Z,Listed for sale,2014-01-01T00:00:00.000Z,Listing removed,2013-10-29T00:00:00.000Z,Price change,2013-10-04T00:00:00.000Z,Price change,2013-08-08T00:00:00.000Z,Listed for sale,2011-08-31T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1155 Mimosa Dr, Conway, AR 72034",1155 Mimosa Dr,Conway,AR,,forRent,3,1236,,1400,14,https://www.zillow.com/homedetails/1155-Mimosa-Dr-Conway-AR-72034/35730018_zpid/,,78000,2026-09-04T00:00:00.000Z,Listed for rent,2025-06-19T00:00:00.000Z,Listing removed,2025-06-16T00:00:00.000Z,Listed for rent,2023-09-26T00:00:00.000Z,Listing removed,2023-09-11T00:00:00.000Z,Listed for rent,2019-06-13T00:00:00.000Z,Listing removed,2019-06-05T00:00:00.000Z,Listed for rent,2001-06-27T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Vineyard Dr, Mayflower, AR 72106",15 Vineyard Dr,Mayflower,AR,,forRent,,,,,,"https://www.zillow.com/b/15-vineyard-dr-mayflower-ar/34.970715,-92.48699_ll/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1015 Wineberry, Conway, AR 72034",1015 Wineberry,Conway,AR,,forRent,4,1606,,1700,73,https://www.zillow.com/homedetails/1015-Wineberry-Conway-AR-72034/82271419_zpid/,,222270,2026-07-22T00:00:00.000Z,Listed for rent,2026-07-15T00:00:00.000Z,Listing removed,2026-07-13T00:00:00.000Z,Price change,2026-07-07T00:00:00.000Z,Listed for rent,2022-05-27T00:00:00.000Z,Sold,2010-09-03T00:00:00.000Z,Sold,2009-08-20T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1906 Dave Ward Dr, Conway, AR 72034",1906 Dave Ward Dr,Conway,AR,,forRent,3,1335,,1000,38,https://www.zillow.com/homedetails/1906-Dave-Ward-Dr-Conway-AR-72034/2061771487_zpid/,,,2026-08-11T00:00:00.000Z,Listed for rent,2025-12-18T00:00:00.000Z,Listing removed,2025-11-11T00:00:00.000Z,Price change,2025-10-28T00:00:00.000Z,Price change,2025-10-03T00:00:00.000Z,Price change,2025-06-27T00:00:00.000Z,Listed for rent,2024-05-29T00:00:00.000Z,Listing removed,2024-05-14T00:00:00.000Z,Price change,2024-04-23T00:00:00.000Z,Price change,2024-04-15T00:00:00.000Z,Price change,2024-03-18T00:00:00.000Z,Price change,2024-02-16T00:00:00.000Z,Price change,2024-02-13T00:00:00.000Z,Price change,2024-01-31T00:00:00.000Z,Listed for rent,2023-11-30T00:00:00.000Z,Listing removed,2023-11-15T00:00:00.000Z,Listed for rent,2022-10-25T00:00:00.000Z,Listing removed,2022-10-18T00:00:00.000Z,Price change,2022-10-02T00:00:00.000Z,Price change,2022-08-26T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,
"1306 Bellemeade Dr, Conway, AR 72034",1306 Bellemeade Dr,Conway,AR,,forRent,3,2220,,1775,36,https://www.zillow.com/homedetails/1306-Bellemeade-Dr-Conway-AR-72034/234155_zpid/,,89090,2026-08-13T00:00:00.000Z,Listed for rent,2025-06-20T00:00:00.000Z,Listing removed,2025-05-09T00:00:00.000Z,Listed for rent,2017-12-01T00:00:00.000Z,Listing removed,2017-08-20T00:00:00.000Z,Price change,2017-05-31T00:00:00.000Z,Listed for sale,2013-10-16T00:00:00.000Z,Listing removed,2013-07-18T00:00:00.000Z,Listed for sale,2013-04-01T00:00:00.000Z,Sold,2012-06-28T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2220 Chase Dr, Conway, AR 72034",2220 Chase Dr,Conway,AR,,forRent,3,1582,,1850,64,https://www.zillow.com/homedetails/2220-Chase-Dr-Conway-AR-72034/35730147_zpid/,,141000,2026-07-16T00:00:00.000Z,Listed for rent,2025-04-11T00:00:00.000Z,Listing removed,2025-04-06T00:00:00.000Z,Listed for rent,2025-03-29T00:00:00.000Z,Listing removed,2025-01-19T00:00:00.000Z,Price change,2025-01-18T00:00:00.000Z,Listed for rent,2012-10-25T00:00:00.000Z,Sold,2011-08-25T00:00:00.000Z,Sold,2009-07-29T00:00:00.000Z,Sold,2009-04-13T00:00:00.000Z,Sold,2006-02-08T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2004 Hairston Ave, Conway, AR 72034",2004 Hairston Ave,Conway,AR,,forRent,3,1703,,2800,16,https://www.zillow.com/homedetails/2004-Hairston-Ave-Conway-AR-72034/444384959_zpid/,,,2026-09-02T00:00:00.000Z,Listed for rent,2026-02-25T00:00:00.000Z,Listing removed,2026-01-13T00:00:00.000Z,Listed for rent,2025-12-29T00:00:00.000Z,Listing removed,2025-11-07T00:00:00.000Z,Listed for rent,2025-06-27T00:00:00.000Z,Listing removed,2025-06-10T00:00:00.000Z,Listed for rent,2025-05-29T00:00:00.000Z,Listing removed,2025-03-24T00:00:00.000Z,Price change,2025-01-29T00:00:00.000Z,Price change,2025-01-15T00:00:00.000Z,Listed for rent,2024-11-29T00:00:00.000Z,Listing removed,2024-10-16T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1505 Hathaway Dr, Conway, AR 72034",1505 Hathaway Dr,Conway,AR,,forRent,3,1207,,1475,15,https://www.zillow.com/homedetails/1505-Hathaway-Dr-Conway-AR-72034/241555_zpid/,,70000,2026-09-03T00:00:00.000Z,Listed for rent,2024-01-31T00:00:00.000Z,Listing removed,2024-01-30T00:00:00.000Z,Listed for rent,2024-01-29T00:00:00.000Z,Listing removed,2024-01-27T00:00:00.000Z,Listed for rent,2016-01-09T00:00:00.000Z,Listing removed,2015-12-15T00:00:00.000Z,Listed for rent,2015-09-24T00:00:00.000Z,Sold,2015-08-15T00:00:00.000Z,Listed for sale,2013-10-31T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 Harvest Ln, Conway, AR 72032",10 Harvest Ln,Conway,AR,,forRent,3,1288,,1395,31,https://www.zillow.com/homedetails/10-Harvest-Ln-Conway-AR-72032/338960356_zpid/,,,2026-09-10T00:00:00.000Z,Price change,2026-08-18T00:00:00.000Z,Listed for rent,2024-10-10T00:00:00.000Z,Listing removed,2024-09-25T00:00:00.000Z,Listed for rent,2022-09-22T00:00:00.000Z,Listing removed,2022-08-25T00:00:00.000Z,Price change,2022-08-03T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1267 Hamilton St, Conway, AR 72032",1267 Hamilton St,Conway,AR,,forRent,3,1056,,1158,30,https://www.zillow.com/homedetails/1267-Hamilton-St-Conway-AR-72032/234905_zpid/,,52000,2026-09-16T00:00:00.000Z,Price change,2026-09-14T00:00:00.000Z,Price change,2026-08-20T00:00:00.000Z,Listed for rent,2024-09-19T00:00:00.000Z,Listing removed,2024-09-17T00:00:00.000Z,Price change,2024-09-15T00:00:00.000Z,Price change,2024-09-13T00:00:00.000Z,Listed for rent,2022-12-30T00:00:00.000Z,Listing removed,2022-12-17T00:00:00.000Z,Price change,2022-12-03T00:00:00.000Z,Price change,2022-11-22T00:00:00.000Z,Price change,2022-11-08T00:00:00.000Z,Listed for rent,2022-11-04T00:00:00.000Z,Listing removed,2022-10-28T00:00:00.000Z,Price change,2022-09-30T00:00:00.000Z,Listed for sale,2021-12-14T00:00:00.000Z,Sold,2015-03-20T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 Honeysuckle Ln, Conway, AR 72034",3 Honeysuckle Ln,Conway,AR,,forRent,4,1717,,1600,25,https://www.zillow.com/homedetails/3-Honeysuckle-Ln-Conway-AR-72034/234793_zpid/,,115000,2026-08-24T00:00:00.000Z,Listed for rent,2025-08-22T00:00:00.000Z,Listing removed,2025-07-25T00:00:00.000Z,Listed for sale,2025-04-15T00:00:00.000Z,Listing removed,2025-01-16T00:00:00.000Z,Pending sale,2025-01-13T00:00:00.000Z,Price change,2024-11-21T00:00:00.000Z,Price change,2024-11-20T00:00:00.000Z,Listed for sale,2022-09-22T00:00:00.000Z,Listing removed,2022-08-21T00:00:00.000Z,Listed for rent,2021-03-24T00:00:00.000Z,Listing removed,2019-11-27T00:00:00.000Z,Listing removed,2019-10-25T00:00:00.000Z,Price change,2019-10-16T00:00:00.000Z,Price change,2019-09-13T00:00:00.000Z,Listed for rent,2019-03-05T00:00:00.000Z,Listing removed,2019-02-09T00:00:00.000Z,Listed for rent,2019-01-07T00:00:00.000Z,Listing removed,2018-12-12T00:00:00.000Z,Listed for rent,2018-12-07T00:00:00.000Z,Sold,2018-10-04T00:00:00.000Z,Price change,2018-09-14T00:00:00.000Z,Listed for sale,2017-07-27T00:00:00.000Z,Listing removed,2017-07-25T00:00:00.000Z,Listed for rent,2015-05-21T00:00:00.000Z,Sold,2013-10-24T00:00:00.000Z,Sold,2013-07-26T00:00:00.000Z,Listed for sale,2010-06-22T00:00:00.000Z,Sold,,,,
