"Picture Count","Status","List Price","Price","Subdivision","Address","Apx SQFT","Beds","Full Baths","Apx ACR","Input Date","Price Date","Price Per SQFT","Closed Date"
"21","SLD","$252,000","$258,975","VINEYARD SUB PH II","114 E Fredonia Court","1753","4","2","0.15","2/27/2025 9:18 AM","7/1/2025","$147.73","6/27/2025"
"16","SLD","$262,000","$259,000","THE VILLAS AT HOPE VALLEY PHASE 1","293 Alyece Lane","1884","4","2","0.24","2/3/2025 4:47 PM","7/30/2025","$137.47","7/28/2025"
"15","SLD","$259,000","$259,000","VINEYARD SUB PH I","118 E Fredonia Court","1858","4","2","0.15","6/30/2025 3:43 PM","6/30/2025","$139.40","6/30/2025"
"8","EXP","$259,000","$259,000","THE VILLAS AT HOPE VALLEY PHASE 1","93 Kelton Lane","1858","4","2","0.20","7/18/2025 2:56 PM","7/27/2025","$139.40",
"18","EXP","$259,000","$259,000","THE VILLAS AT HOPE VALLEY PHASE 1","285 Alyece Lane","1858","4","2","0.22","12/28/2024 10:45 PM","7/27/2025","$139.40",
"8","EXP","$259,000","$259,000","THE VILLAS AT HOPE VALLEY PHASE 1","45 Kelton Lane","1858","4","2","0.22","7/18/2025 3:43 PM","7/27/2025","$139.40",
"9","SLD","$257,000","$259,000","RIDGEFIELD SUBDIVISION PHASE III","1403 Springvine Drive","1884","4","2","0.19","5/13/2025 2:27 PM","9/2/2025","$137.47","8/29/2025"
"15","SLD","$259,000","$259,000","VINEYARD SUB PH I","2 E Sunbelt Court","1858","4","2","0.23","12/29/2024 3:31 PM","3/10/2025","$139.40","4/11/2025"
"3","ACT","$259,500","$259,500","CRESCENT GROVE PHASE 1","604 Chakka Loop","1867","5","2","0.13","4/24/2026 3:25 PM","4/24/2026","$138.99",
"24","SLD","$267,500","$260,000","WOLFSBRIDGE @ CABOT PH 1-A","55 Wolfsbridge Loop","1884","4","2","0.20","12/9/2025 9:37 AM","5/13/2026","$138.00","5/12/2026"
"22","UCT","$260,000","$260,000","STONE CANYON ADDITION SUBDIVISON","205 Bighorn Trail","1694","4","2","0.12","11/5/2025 9:58 AM","5/6/2026","$153.48","8/14/2026"
"10","SLD","$257,000","$260,000","RIDGEFIELD SUBDIVISION PHASE III","1406 Ridgefield Circle","1884","4","2","0.19","4/16/2025 4:18 PM","9/27/2025","$138.00","9/24/2025"
"15","WITH","$260,050","$260,050","RIDGEFIELD SUBDIVISION PHASE III","1602 Ridgefield Circle","1858","4","2","0.27","4/16/2025 12:21 PM","4/16/2025","$139.96",
"13","SLD","$266,000","$260,825","CYPRESS TRAIL SUBDIVISION","10505 Leyland Road","1638","3","2","0.13","4/17/2025 1:13 PM","10/1/2025","$159.23","9/30/2025"
"17","SLD","$261,500","$261,000","WOLFSBRIDGE @ CABOT PH 1-A","60 Wolfsbridge Loop","1858","4","2","0.15","2/15/2026 9:46 PM","6/3/2026","$140.47","6/2/2026"
"18","SLD","$261,500","$261,000","WOLFSBRIDGE @ CABOT PH 1-A","52 Wolfsbridge Loop","1858","4","2","0.15","12/17/2025 1:10 PM","5/18/2026","$140.47","5/15/2026"
"20","EXP","$261,000","$261,000","THE VILLAS AT HOPE VALLEY PHASE 1","260 Alyece Lane","1814","4","2","0.24","1/28/2025 3:58 PM","7/27/2025","$143.88",
"17","SLD","$258,500","$261,500","WOLFSBRIDGE @ CABOT PH 1-A","59 Wolfsbridge Loop","1724","3","2","0.20","12/16/2025 3:54 PM","5/27/2026","$151.68","5/22/2026"
"29","SLD","$257,000","$261,500","RIDGEFIELD SUBDIVISION PHASE III","1413 Ridgefield Circle","1884","4","2","0.27","7/14/2025 2:52 PM","11/30/2025","$138.80","11/25/2025"
"12","SLD","$259,000","$262,000","KENSINGTON PLACE","6404 Newark Drive","1796","4","2","0.20","8/1/2025 9:30 AM","11/21/2025","$145.88","11/19/2025"
"12","SLD","$274,000","$262,000","KENSINGTON PLACE","4337 Sloan Drive","1796","4","2","0.22","7/30/2025 10:44 AM","11/6/2025","$145.88","11/5/2025"
"14","EXP","$262,000","$262,000","THE VILLAS AT HOPE VALLEY PHASE 1","84 Kelton Lane","1884","4","2","0.15","7/24/2025 10:06 AM","7/24/2025","$139.07",
"16","SLD","$262,000","$262,000","THE VILLAS AT HOPE VALLEY PHASE 1","229 Alyece Lane","1884","4","2","0.20","2/19/2026 11:11 AM","2/19/2026","$139.07","3/13/2026"
"18","SLD","$262,000","$262,000","VINEYARD SUB PH II","102 E Fredonia Court","1897","4","2","0.23","4/20/2026 10:03 AM","4/20/2026","$138.11","4/28/2026"
"25","SLD","$260,000","$262,975","THE VILLAS AT HOPE VALLEY PHASE 1","261 Alyece Lane","1884","4","2","0.18","12/28/2024 9:55 PM","4/28/2025","$139.58","4/25/2025"
"17","NEW","$264,000","$264,000","WOLFSBRIDGE @ CABOT PH 1-A","90 Wolfsbridge Loop","1724","3","2","0.21","7/29/2026 3:46 PM","7/29/2026","$153.13",
"19","WITH","$264,000","$264,000","CYPRESS TRAIL SUBDIVISION","6801 Cypress Trail","1638","3","2","0.19","1/22/2025 8:41 AM","1/30/2025","$161.17",
"16","SLD","$264,000","$264,000","THE VILLAS AT HOPE VALLEY PHASE 1","221 Alyece Lane","1884","4","2","0.22","12/17/2025 9:18 AM","12/17/2025","$140.13","2/17/2026"
"17","EXP","$264,000","$264,000","THE VILLAS AT HOPE VALLEY PHASE 1","268 Alyece Lane","1884","4","2","0.24","12/28/2024 10:47 AM","4/29/2025","$140.13",
"24","SLD","$264,000","$264,000","KENSINGTON PLACE","6401 Newark Drive","1796","4","2","0.20","11/19/2024 5:04 PM","3/20/2025","$146.99","5/15/2025"
"14","SLD","$264,000","$264,000","KENSINGTON PLACE","4336 Sloan Drive","1796","4","2","0.21","1/22/2025 1:48 PM","3/10/2025","$146.99","4/8/2025"
"2","ACT","$264,500","$264,500","CRESCENT GROVE PHASE 1","600 Chakka Loop","1926","5","2","0.13","3/24/2026 4:01 PM","3/24/2026","$137.33",
