listingAddress/full,listingAddress/street,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event
"1181 Courtney Dr, Hickory, NC 28602",1181 Courtney Dr,,4,993,,1950,0,https://www.zillow.com/homedetails/1181-Courtney-Dr-Hickory-NC-28602/71914325_zpid/,,115000,2026-09-03T00:00:00.000Z,Listed for rent,2025-03-27T00:00:00.000Z,Listing removed,2025-02-28T00:00:00.000Z,Listed for rent,2024-09-18T00:00:00.000Z,Sold,2005-05-02T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2781 19th Ave NE, Hickory, NC 28601",2781 19th Ave NE,,3,2500,,2200,17,https://www.zillow.com/homedetails/2781-19th-Ave-NE-Hickory-NC-28601/71935770_zpid/,,,2026-08-17T00:00:00.000Z,Listed for rent,2025-10-14T00:00:00.000Z,Listing removed,2025-09-27T00:00:00.000Z,Price change,2025-09-15T00:00:00.000Z,Listed for rent,2025-07-13T00:00:00.000Z,Listing removed,2025-07-10T00:00:00.000Z,Listed for rent,2025-06-29T00:00:00.000Z,Listing removed,2025-05-31T00:00:00.000Z,Price change,2025-05-27T00:00:00.000Z,Price change,2025-05-10T00:00:00.000Z,Price change,2025-04-26T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32 Thunderbird Dr, Cabot, AR 72023",32 Thunderbird Dr,,3,1444,,1475,0,https://www.zillow.com/homedetails/32-Thunderbird-Dr-Cabot-AR-72023/67447424_zpid/,,,2026-09-03T00:00:00.000Z,Listed for rent,2021-03-24T00:00:00.000Z,Listing removed,2017-03-08T00:00:00.000Z,Listing removed,2017-02-06T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2035 2nd St NW, Hickory, NC 28601",2035 2nd St NW,,4,2958,,3400,16,https://www.zillow.com/homedetails/2035-2nd-St-NW-Hickory-NC-28601/71547887_zpid/,,525000,2026-08-18T00:00:00.000Z,Listed for rent,2025-01-07T00:00:00.000Z,Sold,2018-06-20T00:00:00.000Z,Sold,2018-05-14T00:00:00.000Z,Pending sale,2017-08-08T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3605 16th St NE, Hickory, NC 28601",3605 16th St NE,,3,1395,,1850,3,https://www.zillow.com/homedetails/3605-16th-St-NE-Hickory-NC-28601/71966217_zpid/,,150000,2026-08-31T00:00:00.000Z,Listed for rent,2026-06-19T00:00:00.000Z,Listing removed,2026-05-22T00:00:00.000Z,Listed for rent,2025-11-10T00:00:00.000Z,Sold,2025-09-09T00:00:00.000Z,Price change,2025-09-02T00:00:00.000Z,Price change,2025-08-26T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"736 12th Ave NW, Hickory, NC 28601",736 12th Ave NW,,3,1852,,1900,3,https://www.zillow.com/homedetails/736-12th-Ave-NW-Hickory-NC-28601/71948672_zpid/,,,2026-08-31T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3927 Newhall Dr NW, Hickory, NC 28601",3927 Newhall Dr NW,,3,1082,,1450,0,https://www.zillow.com/homedetails/3927-Newhall-Dr-NW-Hickory-NC-28601/98193008_zpid/,,205000,2026-09-03T00:00:00.000Z,Listed for rent,2024-07-24T00:00:00.000Z,Listing removed,2024-07-18T00:00:00.000Z,Price change,2024-07-08T00:00:00.000Z,Price change,2024-05-07T00:00:00.000Z,Listed for rent,2022-03-30T00:00:00.000Z,Sold,2022-03-01T00:00:00.000Z,Contingent,2022-01-26T00:00:00.000Z,Price change,2022-01-25T00:00:00.000Z,Listed for sale,2022-01-18T00:00:00.000Z,Listing removed,2022-01-06T00:00:00.000Z,Listed for sale,2022-01-06T00:00:00.000Z,Listing removed,2021-12-01T00:00:00.000Z,Listed for sale,2017-12-12T00:00:00.000Z,Listing removed,2017-11-15T00:00:00.000Z,Listed for sale,2017-08-09T00:00:00.000Z,Listing removed,2017-08-04T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,
"5694 Claridge Dr, Hickory, NC 28602",5694 Claridge Dr,,3,2200,,2150,104,https://www.zillow.com/homedetails/5694-Claridge-Dr-Hickory-NC-28602/71906250_zpid/,,113500,2026-05-22T00:00:00.000Z,Listed for rent,2024-09-13T00:00:00.000Z,Listing removed,2024-08-02T00:00:00.000Z,Listed for rent,2000-11-03T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1928 36th Ave NE, Hickory, NC 28601",1928 36th Ave NE,,3,,,1900,30,https://www.zillow.com/homedetails/1928-36th-Ave-NE-Hickory-NC-28601/71548772_zpid/,,206146,2026-08-04T00:00:00.000Z,Listed for rent,2023-06-02T00:00:00.000Z,Sold,2023-05-10T00:00:00.000Z,Pending sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Corbet Ln, Maumelle, AR 72113",2 Corbet Ln,,3,1523,,2300,13,https://www.zillow.com/homedetails/2-Corbet-Ln-Maumelle-AR-72113/122005820_zpid/,,,2026-08-21T00:00:00.000Z,Listed for rent,2025-04-21T00:00:00.000Z,Listing removed,2025-03-25T00:00:00.000Z,Price change,2025-03-04T00:00:00.000Z,Listed for rent,2025-01-27T00:00:00.000Z,Listing removed,2025-01-14T00:00:00.000Z,Price change,2025-01-13T00:00:00.000Z,Listed for rent,2022-11-11T00:00:00.000Z,Listing removed,2022-10-11T00:00:00.000Z,Listed for rent,2017-10-06T00:00:00.000Z,Listing removed,2017-08-30T00:00:00.000Z,Price change,2017-08-08T00:00:00.000Z,Price change,2017-06-26T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
