listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"14095 Magnolia Glen Dr, Alexander, AR 72002",14095 Magnolia Glen Dr,Alexander,AR,,forRent,3,1228,,1530,23,https://www.zillow.com/homedetails/14095-Magnolia-Glen-Dr-Alexander-AR-72002/88906053_zpid/,,119500,2026-09-01T00:00:00.000Z,Listed for rent,2020-12-08T00:00:00.000Z,Listing removed,2020-12-02T00:00:00.000Z,Listed for rent,2016-09-27T00:00:00.000Z,Sold,2016-06-29T00:00:00.000Z,Price change,2016-06-06T00:00:00.000Z,Listed for sale
"6688 Hollywood Ave, Benton, AR 72019",6688 Hollywood Ave,Benton,AR,,forRent,3,1051,,1595,20,https://www.zillow.com/homedetails/6688-Hollywood-Ave-Benton-AR-72019/460744960_zpid/,,183900,2026-09-04T00:00:00.000Z,Listed for rent,2026-08-28T00:00:00.000Z,Sold,2026-08-10T00:00:00.000Z,Contingent,2026-06-25T00:00:00.000Z,Price change,2026-06-18T00:00:00.000Z,Price change,2026-06-09T00:00:00.000Z,Price change
"4555 Graham Dr, Conway, AR 72034",4555 Graham Dr,Conway,AR,,forRent,3,1192,,1400,42,https://www.zillow.com/homedetails/4555-Graham-Dr-Conway-AR-72034/59917944_zpid/,,185000,2026-08-13T00:00:00.000Z,Listed for rent,2024-10-02T00:00:00.000Z,Listing removed,2024-09-23T00:00:00.000Z,Listed for rent,2023-07-28T00:00:00.000Z,Sold,2023-06-28T00:00:00.000Z,Contingent,2023-06-28T00:00:00.000Z,Listed for sale
"1155 Mimosa Dr, Conway, AR 72034",1155 Mimosa Dr,Conway,AR,,forRent,3,1236,,1400,20,https://www.zillow.com/homedetails/1155-Mimosa-Dr-Conway-AR-72034/35730018_zpid/,,78000,2026-09-04T00:00:00.000Z,Listed for rent,2025-06-19T00:00:00.000Z,Listing removed,2025-06-16T00:00:00.000Z,Listed for rent,2023-09-26T00:00:00.000Z,Listing removed,2023-09-11T00:00:00.000Z,Listed for rent,2019-06-13T00:00:00.000Z,Listing removed
"227 Iris St, Haskell, AR 72015",227 Iris St,Haskell,AR,,forRent,3,1420,,1625,59,https://www.zillow.com/homedetails/227-Iris-St-Haskell-AR-72015/2060765172_zpid/,,195000,2026-09-23T00:00:00.000Z,Price change,2026-09-10T00:00:00.000Z,Price change,2026-08-27T00:00:00.000Z,Price change,2026-07-27T00:00:00.000Z,Listed for rent,2023-02-16T00:00:00.000Z,Listing removed,2023-02-08T00:00:00.000Z,Price change
"3001 Wild Berry Dr, Benton, AR 72015",3001 Wild Berry Dr,Benton,AR,,forRent,3,1486,,1725,34,https://www.zillow.com/homedetails/3001-Wild-Berry-Dr-Benton-AR-72015/71716346_zpid/,,184900,2026-08-21T00:00:00.000Z,Listed for rent,2024-07-31T00:00:00.000Z,Listing removed,2024-07-05T00:00:00.000Z,Listed for rent,2023-04-21T00:00:00.000Z,Listing removed,2023-04-19T00:00:00.000Z,Listed for rent,2022-03-28T00:00:00.000Z,Listing removed
"607 Timberline Rd, Jacksonville, AR 72076",607 Timberline Rd,Jacksonville,AR,,forRent,3,1305,,1700,19,https://www.zillow.com/homedetails/607-Timberline-Rd-Jacksonville-AR-72076/447645046_zpid/,,,2026-09-05T00:00:00.000Z,Listed for rent,2025-08-07T00:00:00.000Z,Listing removed,2025-07-01T00:00:00.000Z,Price change,2025-04-02T00:00:00.000Z,Price change,2025-02-27T00:00:00.000Z,Listed for rent,2025-02-27T00:00:00.000Z,Listing removed
"5399 Heritage Valley Dr, Benton, AR 72019",5399 Heritage Valley Dr,Benton,AR,,forRent,4,1790,,1800,59,https://www.zillow.com/homedetails/5399-Heritage-Valley-Dr-Benton-AR-72019/2062299989_zpid/,,245000,2026-09-10T00:00:00.000Z,Price change,2026-08-31T00:00:00.000Z,Price change,2026-07-27T00:00:00.000Z,Listed for rent,2026-07-15T00:00:00.000Z,Listing removed,2026-05-22T00:00:00.000Z,Price change,2026-04-02T00:00:00.000Z,Listed for sale
"313 S Neeley St, Benton, AR 72015",313 S Neeley St,Benton,AR,,forRent,3,1800,,1545,38,https://www.zillow.com/homedetails/313-S-Neeley-St-Benton-AR-72015/2067919637_zpid/,,205000,2026-09-23T00:00:00.000Z,Price change,2026-09-10T00:00:00.000Z,Price change,2026-08-17T00:00:00.000Z,Listed for rent,2025-09-14T00:00:00.000Z,Listing removed,2025-09-02T00:00:00.000Z,Listed for rent,2023-02-17T00:00:00.000Z,Listing removed
"2530 Peabody Dr, Conway, AR 72032",2530 Peabody Dr,Conway,AR,,forRent,3,1271,,1500,40,https://www.zillow.com/homedetails/2530-Peabody-Dr-Conway-AR-72032/239829_zpid/,,199000,2026-08-15T00:00:00.000Z,Listed for rent,2025-07-28T00:00:00.000Z,Sold,2025-06-29T00:00:00.000Z,Contingent,2025-06-28T00:00:00.000Z,Listed for sale,2014-12-23T00:00:00.000Z,Sold,2013-09-19T00:00:00.000Z,Sold
"13757 Cedar Glen Cv, Alexander, AR 72002",13757 Cedar Glen Cv,Alexander,AR,,forRent,3,1408,,1575,29,https://www.zillow.com/homedetails/13757-Cedar-Glen-Cv-Alexander-AR-72002/92432562_zpid/,,124900,2026-08-26T00:00:00.000Z,Listed for rent,2017-02-19T00:00:00.000Z,Listing removed,2017-01-26T00:00:00.000Z,Listed for rent,2007-07-18T00:00:00.000Z,Sold,2007-01-31T00:00:00.000Z,Sold,,
"17 Greenbrier Dr, Benton, AR 72015",17 Greenbrier Dr,Benton,AR,,forRent,3,1460,,1545,52,https://www.zillow.com/homedetails/17-Greenbrier-Dr-Benton-AR-72015/386172_zpid/,,143000,2026-09-17T00:00:00.000Z,Price change,2026-08-27T00:00:00.000Z,Price change,2026-08-03T00:00:00.000Z,Listed for rent,2026-02-23T00:00:00.000Z,Listing removed,2026-02-19T00:00:00.000Z,Price change,2026-01-29T00:00:00.000Z,Price change
"22530 Sam Tillery Dr, Alexander, AR 72002",22530 Sam Tillery Dr,Alexander,AR,,forRent,3,1633,,1995,2,https://www.zillow.com/homedetails/22530-Sam-Tillery-Dr-Alexander-AR-72002/465489014_zpid/,,,2026-09-22T00:00:00.000Z,Listed for rent,,,,,,,,,,
"414 Newcomb Cv, Benton, AR 72015",414 Newcomb Cv,Benton,AR,,forRent,3,1384,,1600,5,https://www.zillow.com/homedetails/414-Newcomb-Cv-Benton-AR-72015/384931_zpid/,,65531,2026-07-17T00:00:00.000Z,Listed for rent,2010-11-30T00:00:00.000Z,Sold,2005-03-03T00:00:00.000Z,Sold,,,,,,
