listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,bdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"4090 Oxford Glen Dr, Claremont, NC 28610",4090 Oxford Glen Dr,Claremont,NC,,forRent,4,1956,,1945,16,https://www.zillow.com/homedetails/4090-Oxford-Glen-Dr-Claremont-NC-28610/465094288_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4087 Oxford Glen Dr, Claremont, NC 28610",4087 Oxford Glen Dr,Claremont,NC,,forRent,5,2578,,2135,16,https://www.zillow.com/homedetails/4087-Oxford-Glen-Dr-Claremont-NC-28610/465094282_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4054 Oxford Glen Dr, Claremont, NC 28610",4054 Oxford Glen Dr,Claremont,NC,,forRent,3,1665,,1800,16,https://www.zillow.com/homedetails/4054-Oxford-Glen-Dr-Claremont-NC-28610/465094281_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"2130 10th St SE, Hickory, NC 28602",2130 10th St SE,Hickory,NC,,forRent,4,2174,,2250,47,https://www.zillow.com/homedetails/2130-10th-St-SE-Hickory-NC-28602/463122074_zpid/,,,,2026-08-07T00:00:00.000Z,Listed for rent,2026-07-20T00:00:00.000Z,Listing removed,2026-07-17T00:00:00.000Z,Price change,2026-06-11T00:00:00.000Z,Listed for sale,,,,
"4066 Oxford Glen Dr, Claremont, NC 28610",4066 Oxford Glen Dr,Claremont,NC,,forRent,4,1956,,1945,16,https://www.zillow.com/homedetails/4066-Oxford-Glen-Dr-Claremont-NC-28610/465094292_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4075 Oxford Glen Dr, Claremont, NC 28610",4075 Oxford Glen Dr,Claremont,NC,,forRent,5,2578,,2135,16,https://www.zillow.com/homedetails/4075-Oxford-Glen-Dr-Claremont-NC-28610/465094286_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"2098 10th St SE, Hickory, NC 28601",2098 10th St SE,Hickory,NC,,forRent,4,2174,,2295,21,https://www.zillow.com/homedetails/2098-10th-St-SE-Hickory-NC-28601/461180979_zpid/,,,309000,2026-09-22T00:00:00.000Z,Price change,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-03-20T00:00:00.000Z,Pending sale,2026-03-20T00:00:00.000Z,Listed for sale,,
"3755 Charles St NW, Conover, NC 28613",3755 Charles St NW,Conover,NC,,forRent,4,2565,,2400,82,https://www.zillow.com/homedetails/3755-Charles-St-NW-Conover-NC-28613/345078496_zpid/,,,359000,2026-08-05T00:00:00.000Z,Price change,2026-07-30T00:00:00.000Z,Price change,2026-07-18T00:00:00.000Z,Price change,2026-07-05T00:00:00.000Z,Listed for rent,2024-10-15T00:00:00.000Z,Sold,2024-08-13T00:00:00.000Z,Price change
"4072 Oxford Glen Dr, Claremont, NC 28610",4072 Oxford Glen Dr,Claremont,NC,,forRent,4,2307,,1990,16,https://www.zillow.com/homedetails/4072-Oxford-Glen-Dr-Claremont-NC-28610/465094284_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"7083 Juneberry Way, Maiden, NC 28650",7083 Juneberry Way,Maiden,NC,,forRent,4,2628,,2349,28,https://www.zillow.com/homedetails/7083-Juneberry-Way-Maiden-NC-28650/464846943_zpid/,,,,2026-09-10T00:00:00.000Z,Price change,2026-08-26T00:00:00.000Z,Listed for rent,,,,,,,,
"7137 Juneberry Way, Maiden, NC 28650",7137 Juneberry Way,Maiden,NC,,forRent,4,2931,,2599,46,https://www.zillow.com/homedetails/7137-Juneberry-Way-Maiden-NC-28650/464413261_zpid/,,,,2026-09-10T00:00:00.000Z,Price change,2026-09-01T00:00:00.000Z,Price change,2026-08-08T00:00:00.000Z,Listed for rent,,,,,,
"1415 Mammoth Rd, Hickory, NC 28602",1415 Mammoth Rd,Hickory,NC,,forRent,4,1927,,2145,21,https://www.zillow.com/homedetails/1415-Mammoth-Rd-Hickory-NC-28602/461722523_zpid/,,,272500,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-07-16T00:00:00.000Z,Pending sale,2026-06-02T00:00:00.000Z,Price change,2026-04-15T00:00:00.000Z,Listed for sale,,
"7119 Juneberry Way, Maiden, NC 28650",7119 Juneberry Way,Maiden,NC,,forRent,4,2931,,2599,46,https://www.zillow.com/homedetails/7119-Juneberry-Way-Maiden-NC-28650/464413264_zpid/,,,,2026-09-10T00:00:00.000Z,Price change,2026-09-01T00:00:00.000Z,Price change,2026-08-08T00:00:00.000Z,Listed for rent,,,,,,
