listingAddress/full,listingAddress/street,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event
"16 Mustang Dr, Cabot, AR 72023",16 Mustang Dr,FOR_RENT,3,1494,1450,1450,16,https://www.zillow.com/homedetails/16-Mustang-Dr-Cabot-AR-72023/63160974_zpid/,/homedetails/16-Mustang-Dr-Cabot-AR-72023/63160974_zpid/,2988,2026-08-07T00:00:00.000Z,Listed for rent,2020-02-08T00:00:00.000Z,Listing removed,2020-01-25T00:00:00.000Z,Listed for rent,2018-12-12T00:00:00.000Z,Listing removed,2018-11-14T00:00:00.000Z,Listed for rent,2012-08-23T00:00:00.000Z,Sold,2004-02-25T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"59 Hickory Bend Dr, Cabot, AR 72023",59 Hickory Bend Dr,FOR_RENT,3,2129,2000,2000,10,https://www.zillow.com/homedetails/59-Hickory-Bend-Dr-Cabot-AR-72023/67445626_zpid/,/homedetails/59-Hickory-Bend-Dr-Cabot-AR-72023/67445626_zpid/,207000,2026-08-13T00:00:00.000Z,Listed for rent,2023-06-25T00:00:00.000Z,Listing removed,2023-06-22T00:00:00.000Z,Listed for rent,2021-02-22T00:00:00.000Z,Sold,2016-07-15T00:00:00.000Z,Listing removed,2016-06-12T00:00:00.000Z,Price change,2016-04-29T00:00:00.000Z,Listed for sale,2011-03-30T00:00:00.000Z,Sold,2010-08-06T00:00:00.000Z,Listing removed,2010-02-22T00:00:00.000Z,Price change,2009-10-03T00:00:00.000Z,Listed for sale,2009-07-16T00:00:00.000Z,Listing removed,2009-02-16T00:00:00.000Z,Listed for sale,2008-10-27T00:00:00.000Z,Listing removed,2008-07-23T00:00:00.000Z,Price change,2007-07-07T00:00:00.000Z,Listed for sale,2004-11-09T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,
"1928 36th Ave NE, Hickory, NC 28601",1928 36th Ave NE,FOR_RENT,3,,1900,1900,19,https://www.zillow.com/homedetails/1928-36th-Ave-NE-Hickory-NC-28601/71548772_zpid/,/homedetails/1928-36th-Ave-NE-Hickory-NC-28601/71548772_zpid/,206146,2026-08-04T00:00:00.000Z,Listed for rent,2023-06-02T00:00:00.000Z,Sold,2023-05-10T00:00:00.000Z,Pending sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54 Magnolia Dr, Cabot, AR 72023",54 Magnolia Dr,FOR_RENT,3,1394,1400,1400,37,https://www.zillow.com/homedetails/54-Magnolia-Dr-Cabot-AR-72023/60314948_zpid/,/homedetails/54-Magnolia-Dr-Cabot-AR-72023/60314948_zpid/,117000,2026-07-17T00:00:00.000Z,Listed for rent,2025-09-24T00:00:00.000Z,Listing removed,2025-09-04T00:00:00.000Z,Listed for rent,2024-08-02T00:00:00.000Z,Listing removed,2024-07-20T00:00:00.000Z,Price change,2024-06-25T00:00:00.000Z,Listed for rent,2023-06-25T00:00:00.000Z,Listing removed,2023-06-02T00:00:00.000Z,Listed for rent,2021-12-27T00:00:00.000Z,Listing removed,2021-12-19T00:00:00.000Z,Listed for rent,2013-05-01T00:00:00.000Z,Listing removed,2013-04-21T00:00:00.000Z,Listed for rent,2013-04-19T00:00:00.000Z,Sold,2012-12-01T00:00:00.000Z,Price change,2012-10-15T00:00:00.000Z,Listed for sale,2011-04-01T00:00:00.000Z,Sold,2011-01-17T00:00:00.000Z,Price change,2011-01-15T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,
"101 Cedar Creek Loop, Cabot, AR 72023",101 Cedar Creek Loop,FOR_RENT,3,1422,1345,1345,31,https://www.zillow.com/homedetails/101-Cedar-Creek-Loop-Cabot-AR-72023/88905306_zpid/,/homedetails/101-Cedar-Creek-Loop-Cabot-AR-72023/88905306_zpid/,,2026-08-06T00:00:00.000Z,Price change,2026-07-30T00:00:00.000Z,Price change,2026-07-23T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21 Meadowlark Dr, Cabot, AR 72023",21 Meadowlark Dr,FOR_RENT,3,1013,1395,1395,12,https://www.zillow.com/homedetails/21-Meadowlark-Dr-Cabot-AR-72023/255213_zpid/,/homedetails/21-Meadowlark-Dr-Cabot-AR-72023/255213_zpid/,147900,2026-08-12T00:00:00.000Z,Listed for rent,2024-01-16T00:00:00.000Z,Listing removed,2024-01-04T00:00:00.000Z,Sold,2023-08-22T00:00:00.000Z,Sold,2023-07-17T00:00:00.000Z,Contingent,2023-05-12T00:00:00.000Z,Listed for sale,2023-04-19T00:00:00.000Z,Listing removed,2023-03-17T00:00:00.000Z,Listed for rent,2022-03-21T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17 Azalea Dr, Cabot, AR 72023",17 Azalea Dr,FOR_RENT,3,1294,1345,1345,60,https://www.zillow.com/homedetails/17-Azalea-Dr-Cabot-AR-72023/52495110_zpid/,/homedetails/17-Azalea-Dr-Cabot-AR-72023/52495110_zpid/,174500,2026-08-23T00:00:00.000Z,Price change,2026-08-13T00:00:00.000Z,Price change,2026-06-25T00:00:00.000Z,Listed for rent,2024-12-19T00:00:00.000Z,Sold,2024-11-09T00:00:00.000Z,Listed for sale,2022-05-27T00:00:00.000Z,Sold,2021-03-24T00:00:00.000Z,Listing removed,2018-07-11T00:00:00.000Z,Listing removed,2018-07-08T00:00:00.000Z,Listed for rent,2017-09-16T00:00:00.000Z,Listing removed,2017-05-10T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36 Azalea Dr, Cabot, AR 72023",36 Azalea Dr,FOR_RENT,3,1350,1350,1350,17,https://www.zillow.com/homedetails/36-Azalea-Dr-Cabot-AR-72023/52495117_zpid/,/homedetails/36-Azalea-Dr-Cabot-AR-72023/52495117_zpid/,16000,2026-08-06T00:00:00.000Z,Listed for rent,2011-05-11T00:00:00.000Z,Sold,1999-11-12T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"203 Lynn Ln, Lonoke, AR 72086",203 Lynn Ln,FOR_RENT,3,1200,1225,1225,69,https://www.zillow.com/homedetails/203-Lynn-Ln-Lonoke-AR-72086/260453_zpid/,/homedetails/203-Lynn-Ln-Lonoke-AR-72086/260453_zpid/,105000,2026-06-30T00:00:00.000Z,Price change,2026-06-15T00:00:00.000Z,Listed for rent,2026-06-01T00:00:00.000Z,Listing removed,2026-05-14T00:00:00.000Z,Listed for rent,2022-05-19T00:00:00.000Z,Sold,2022-05-13T00:00:00.000Z,Contingent,2022-05-05T00:00:00.000Z,Listed for sale,2014-05-30T00:00:00.000Z,Sold,2014-02-20T00:00:00.000Z,Sold,2014-01-11T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Applewood Cv, Cabot, AR 72023",15 Applewood Cv,FOR_RENT,3,1588,1600,1600,37,https://www.zillow.com/homedetails/15-Applewood-Cv-Cabot-AR-72023/35732370_zpid/,/homedetails/15-Applewood-Cv-Cabot-AR-72023/35732370_zpid/,226000,2026-07-17T00:00:00.000Z,Listed for rent,2024-05-04T00:00:00.000Z,Listing removed,2024-04-27T00:00:00.000Z,Listed for rent,2024-04-19T00:00:00.000Z,Sold,2024-03-14T00:00:00.000Z,Listed for sale,2022-10-31T00:00:00.000Z,Sold,2022-08-02T00:00:00.000Z,Listed for sale,2019-10-28T00:00:00.000Z,Sold,2019-09-18T00:00:00.000Z,Listed for sale,2014-01-02T00:00:00.000Z,Sold,2013-11-23T00:00:00.000Z,Price change,2013-10-17T00:00:00.000Z,Price change,2013-09-20T00:00:00.000Z,Listed for sale,2012-03-08T00:00:00.000Z,Listing removed,2011-09-23T00:00:00.000Z,Listed for sale,2011-05-07T00:00:00.000Z,Listing removed,2011-01-23T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,
"120 Suda St, Cabot, AR 72023",120 Suda St,FOR_RENT,3,1008,1095,1095,128,https://www.zillow.com/homedetails/120-Suda-St-Cabot-AR-72023/213595966_zpid/,/homedetails/120-Suda-St-Cabot-AR-72023/213595966_zpid/,120000,2026-06-17T00:00:00.000Z,Price change,2026-05-05T00:00:00.000Z,Price change,2026-04-18T00:00:00.000Z,Listed for rent,2024-08-02T00:00:00.000Z,Sold,2024-07-23T00:00:00.000Z,Listing removed,2024-07-04T00:00:00.000Z,Listed for rent,2024-06-25T00:00:00.000Z,Listed for sale,2024-05-20T00:00:00.000Z,Contingent,2024-05-03T00:00:00.000Z,Listed for sale,2023-10-26T00:00:00.000Z,Listing removed,2023-10-21T00:00:00.000Z,Listed for rent,2021-03-24T00:00:00.000Z,Listing removed,2018-04-27T00:00:00.000Z,Listing removed,2018-04-17T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43 Bud Grimes Rd, Ward, AR 72176",43 Bud Grimes Rd,FOR_RENT,3,1200,1295,1295,34,https://www.zillow.com/homedetails/43-Bud-Grimes-Rd-Ward-AR-72176/35732506_zpid/,/homedetails/43-Bud-Grimes-Rd-Ward-AR-72176/35732506_zpid/,152500,2026-07-20T00:00:00.000Z,Listed for rent,2026-02-24T00:00:00.000Z,Listing removed,2026-02-17T00:00:00.000Z,Price change,2026-02-03T00:00:00.000Z,Listed for rent,2022-09-15T00:00:00.000Z,Listing removed,2022-08-24T00:00:00.000Z,Listed for rent,2022-05-27T00:00:00.000Z,Sold,2022-05-12T00:00:00.000Z,Contingent,2022-05-11T00:00:00.000Z,Listed for sale,2017-03-07T00:00:00.000Z,Sold,2016-11-15T00:00:00.000Z,Price change,2016-10-12T00:00:00.000Z,Price change,2016-09-08T00:00:00.000Z,Price change,2016-06-29T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36 Parkview Dr, Cabot, AR 72023",36 Parkview Dr,FOR_RENT,3,1137,1195,1195,30,https://www.zillow.com/homedetails/36-Parkview-Dr-Cabot-AR-72023/255635_zpid/,/homedetails/36-Parkview-Dr-Cabot-AR-72023/255635_zpid/,105000,2026-07-24T00:00:00.000Z,Listed for rent,2024-01-09T00:00:00.000Z,Listing removed,2023-12-28T00:00:00.000Z,Listed for rent,2022-10-11T00:00:00.000Z,Listing removed,2022-10-03T00:00:00.000Z,Listed for rent,2022-02-08T00:00:00.000Z,Listing removed,2022-01-25T00:00:00.000Z,Price change,2022-01-04T00:00:00.000Z,Listed for rent,2020-03-10T00:00:00.000Z,Listing removed,2020-02-11T00:00:00.000Z,Price change,2020-02-01T00:00:00.000Z,Listed for rent,2019-11-18T00:00:00.000Z,Sold,2019-10-04T00:00:00.000Z,Listed for sale,2018-11-01T00:00:00.000Z,Listing removed,2018-08-29T00:00:00.000Z,Listed for sale,2017-03-23T00:00:00.000Z,Sold,2016-12-12T00:00:00.000Z,Listed for sale,2016-10-13T00:00:00.000Z,Sold,2016-09-07T00:00:00.000Z,Listed for sale,2015-03-26T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,
"32 Fortson Dr, Cabot, AR 72023",32 Fortson Dr,FOR_RENT,3,1064,875,875,1,https://www.zillow.com/homedetails/32-Fortson-Dr-Cabot-AR-72023/63161011_zpid/,/homedetails/32-Fortson-Dr-Cabot-AR-72023/63161011_zpid/,750000,2026-08-22T00:00:00.000Z,Listed for rent,2024-02-17T00:00:00.000Z,Listing removed,2024-02-03T00:00:00.000Z,Listed for rent,2004-08-10T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42 Winners Cir, Cabot, AR 72023",42 Winners Cir,FOR_RENT,3,1521,1850,1850,16,https://www.zillow.com/homedetails/42-Winners-Cir-Cabot-AR-72023/72176611_zpid/,/homedetails/42-Winners-Cir-Cabot-AR-72023/72176611_zpid/,196500,2026-08-07T00:00:00.000Z,Listed for rent,2025-10-07T00:00:00.000Z,Listing removed,2025-09-15T00:00:00.000Z,Listed for rent,2025-07-09T00:00:00.000Z,Sold,2025-04-28T00:00:00.000Z,Price change,2025-04-14T00:00:00.000Z,Price change,2025-04-03T00:00:00.000Z,Price change,2025-03-27T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18 Marian Cv, Cabot, AR 72023",18 Marian Cv,FOR_RENT,3,1400,1400,1400,21,https://www.zillow.com/homedetails/18-Marian-Cv-Cabot-AR-72023/256302_zpid/,/homedetails/18-Marian-Cv-Cabot-AR-72023/256302_zpid/,146000,2026-08-02T00:00:00.000Z,Listed for rent,2025-04-21T00:00:00.000Z,Listing removed,2025-04-02T00:00:00.000Z,Listed for rent,2020-09-10T00:00:00.000Z,Listing removed,2020-09-01T00:00:00.000Z,Listed for rent,2014-03-14T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11 Rockwood Rd, Cabot, AR 72023",11 Rockwood Rd,FOR_RENT,3,1461,1600,1600,18,https://www.zillow.com/homedetails/11-Rockwood-Rd-Cabot-AR-72023/255523_zpid/,/homedetails/11-Rockwood-Rd-Cabot-AR-72023/255523_zpid/,215000,2026-08-08T00:00:00.000Z,Price change,2026-08-05T00:00:00.000Z,Listed for rent,2026-07-20T00:00:00.000Z,Sold,2026-07-17T00:00:00.000Z,Contingent,2026-06-25T00:00:00.000Z,Listed for sale,2016-03-02T00:00:00.000Z,Sold,2016-01-08T00:00:00.000Z,Listed for sale,2015-12-22T00:00:00.000Z,Pending sale,2015-10-19T00:00:00.000Z,Price change,2015-09-18T00:00:00.000Z,Price change,2015-08-14T00:00:00.000Z,Listed for sale,2015-06-02T00:00:00.000Z,Sold,2015-05-07T00:00:00.000Z,Pending sale,2015-01-14T00:00:00.000Z,Price change,2014-10-03T00:00:00.000Z,Listed for sale,2013-11-15T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,
"6 Oddie Ln, Ward, AR 72176",6 Oddie Ln,FOR_RENT,3,1248,1200,1200,18,https://www.zillow.com/homedetails/6-Oddie-Ln-Ward-AR-72176/35731735_zpid/,/homedetails/6-Oddie-Ln-Ward-AR-72176/35731735_zpid/,125000,2026-08-17T00:00:00.000Z,Price change,2026-08-05T00:00:00.000Z,Listed for rent,2024-06-26T00:00:00.000Z,Listing removed,2024-06-07T00:00:00.000Z,Listed for rent,2024-03-29T00:00:00.000Z,Listing removed,2024-03-17T00:00:00.000Z,Listed for rent,2024-03-11T00:00:00.000Z,Sold,2024-02-07T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17 Farrah St, Ward, AR 72176",17 Farrah St,FOR_RENT,3,1563,1250,1250,75,https://www.zillow.com/homedetails/17-Farrah-St-Ward-AR-72176/52495486_zpid/,/homedetails/17-Farrah-St-Ward-AR-72176/52495486_zpid/,,2026-06-09T00:00:00.000Z,Listed for rent,2025-05-24T00:00:00.000Z,Listing removed,2025-05-06T00:00:00.000Z,Price change,2025-04-20T00:00:00.000Z,Listed for rent,2017-02-23T00:00:00.000Z,Listing removed,2017-02-17T00:00:00.000Z,Listed for rent,2014-02-28T00:00:00.000Z,Listing removed,2014-02-05T00:00:00.000Z,Price change,2014-01-29T00:00:00.000Z,Price change,2013-12-14T00:00:00.000Z,Price change,2013-11-30T00:00:00.000Z,Listed for sale,2013-10-25T00:00:00.000Z,Listing removed,2013-09-19T00:00:00.000Z,Price change,2013-09-18T00:00:00.000Z,Price change,2013-06-29T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,
